Nome_Unidade,UF_Unidade
DIRETORIA COLEGIADA,DF
DIVISAO DE PAGAMENTO E BENEFICIOS,DF
SUPERINTENDENCIA DE ADMINISTRACAO MF/RJ,RJ
DEPARTAMENTO DE RECURSOS HUMANOS,RJ
EXTINTA REDE FERROVIARIA FEDERAL SA,DF
SUPERINTENDENCIA DE ADMINISTRACAO MF/RR,RR
DRH1,AL
PRTSRTRJ,RJ
DIRETORIA DE GESTAO INTERNA,DF
DELEGACIA/RF/PORTO VELHO/RO,RO
DELEGACIA/RF/RIO BRANCO/AC,AC
REITORIA,MT
SEC DE RECURSOS HUMANOS/FLORIANOPOLIS,SC
MJ/SE/SAA/CGGP,DF
COORDENACAO DE GESTAO DE PESSOAS,RJ
MJ-DEPEN,DF
SR/PF/GO,GO
SR/PF/BA,BA
SR/PF/PR,PR
SR/PF/AL,AL
SUPERINTENDENCIA REG. NO DF,DF
POLICIA MILITAR DO DISTRITO FEDERAL,DF
SR/PF/DF,DF
SR/PF/SE,SE
SR/PF/SC,SC
SEC.PAG.PESSOAL/DAP/DGPA/PROGEPE,RJ
DIVISÃO DE ADMINISTRAÇÃO DE PESSOAS,RJ
SUPERINTENDENCIA REG. NA PB,PB
SUPERINTENDENCIA REG. EM AL,AL
COORD GERAL DE GESTAO DE PESSOAS/DAGES,DF
SR/PF/MT,MT
COORD. GESTÃO DESENVOLVIMENTO PESSOAL,RJ
SR/PF/RN,RN
POLICIA CIVIL DO DISTRITO FEDERAL,DF
SR/PF/AC,AC
SUPERINTENDENCIA DE ADMINISTRACAO MF/DF,DF
COORD-GERAL DE GEST DE INFORM FUNC/DIGEP,DF
SECRETARIA EXECUTIVA,DF
COORDENACAO DE GESTAO DE PESSOAS,DF
COORDENACAO DE RECURSOS HUMANOS -INPE,SP
"COORD-GERAL PLANEJ, ORÇ E ADMINISTRAÇÃO",DF
GRUPAMENTO DE APOIO DO DISTRITO FEDERAL,DF
SERVICO DESENVOLVIMENTO PAGAMENTO PESSOA,DF
COORD.GERAL DE RECURSOS HUMANOS,DF
EMPRESA BRAS. DE SERVICOS HOSPITALARES,DF
SR/PF/RS,RS
SERVICO DE GESTAO DE PESSOAS-TO,TO
REITORIA,PR
Divisão de Recursos Humanos,DF
DEPARTAMENTO DE RECURSOS HUMANOS,SP
SERVIÇO DE GESTÃO DE PESSOAS,RJ
GER. DE RECURSOS HUMANOS,DF
GERENCIA DE ADMINISTRACAO DE PESSOAS,DF
REITORIA DO INSTITUTO FEDERAL DO RN,RN
Divisao de Financas - HFA,DF
COORDENACAO DE ADMINISTRACAO-IBICT,DF
ASSESSORIA ADMINISTRATIVA,DF
ANP/DGP/PF,DF
SR/PF/RJ,RJ
SR/PF/PB,PB
SR/PF/PA,PA
SR/PF/PE,PE
SR/PF/ES,ES
SR/PF/CE,CE
SR/PF/MA,MA
SR/PF/RO,RO
SR/PF/SP,SP
SR/PF/MS,MS
SR/PF/MG,MG
SR/PF/TO,TO
SR/PF/AP,AP
SR/PF/AM,AM
SR/PF/RR,RR
GABINETE DO COMANDANTE,DF
GRUPAMENTO DE APOIO DE BRASILIA,DF
GRUPAMENTO DE APOIO DOS AFONSOS,RJ
GRUPAMENTO DE APOIO SAO JOSE DOS CAMPOS,SP
GRUPAMENTO DE APOIO DE CANOAS,RS
